instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,season_category,weather_category
1,2011-01-01,1,0,1,0,0,6,0,1,0.24,0.2879,0.81,0.0,3,13,16,Musim Semi,Cerah/Sedikit Berawan
2,2011-01-02,1,0,1,1,0,6,0,1,0.22,0.2727,0.8,0.0,8,32,40,Musim Semi,Cerah/Sedikit Berawan
3,2011-01-03,1,0,1,2,0,6,0,1,0.22,0.2727,0.8,0.0,5,27,32,Musim Semi,Cerah/Sedikit Berawan
4,2011-01-04,1,0,1,3,0,6,0,1,0.24,0.2879,0.75,0.0,3,10,13,Musim Semi,Cerah/Sedikit Berawan
5,2011-01-05,1,0,1,4,0,6,0,1,0.24,0.2879,0.75,0.0,0,1,1,Musim Semi,Cerah/Sedikit Berawan
6,2011-01-06,1,0,1,5,0,6,0,2,0.24,0.2576,0.75,0.0896,0,1,1,Musim Semi,Berkabut/Berawan
7,2011-01-07,1,0,1,6,0,6,0,1,0.22,0.2727,0.8,0.0,2,0,2,Musim Semi,Cerah/Sedikit Berawan
8,2011-01-08,1,0,1,7,0,6,0,1,0.2,0.2576,0.86,0.0,1,2,3,Musim Semi,Cerah/Sedikit Berawan
9,2011-01-09,1,0,1,8,0,6,0,1,0.24,0.2879,0.75,0.0,1,7,8,Musim Semi,Cerah/Sedikit Berawan
10,2011-01-10,1,0,1,9,0,6,0,1,0.32,0.3485,0.76,0.0,8,6,14,Musim Semi,Cerah/Sedikit Berawan
11,2011-01-11,1,0,1,10,0,6,0,1,0.38,0.3939,0.76,0.2537,12,24,36,Musim Semi,Cerah/Sedikit Berawan
12,2011-01-12,1,0,1,11,0,6,0,1,0.36,0.3333,0.81,0.2836,26,30,56,Musim Semi,Cerah/Sedikit Berawan
13,2011-01-13,1,0,1,12,0,6,0,1,0.42,0.4242,0.77,0.2836,29,55,84,Musim Semi,Cerah/Sedikit Berawan
14,2011-01-14,1,0,1,13,0,6,0,2,0.46,0.4545,0.72,0.2985,47,47,94,Musim Semi,Berkabut/Berawan
15,2011-01-15,1,0,1,14,0,6,0,2,0.46,0.4545,0.72,0.2836,35,71,106,Musim Semi,Berkabut/Berawan
